Economy_Label,CargoType_Code,CargoType_Label,2013_Metric_tons_in_thousands_Value,2013_Metric_tons_Footnote,2013_Metric_tons_MissingValue,2014_Metric_tons_in_thousands_Value,2014_Metric_tons_Footnote,2014_Metric_tons_MissingValue,2015_Metric_tons_in_thousands_Value,2015_Metric_tons_Footnote,2015_Metric_tons_MissingValue,2016_Metric_tons_in_thousands_Value,2016_Metric_tons_Footnote,2016_Metric_tons_MissingValue,2017_Metric_tons_in_thousands_Value,2017_Metric_tons_Footnote,2017_Metric_tons_MissingValue,2018_Metric_tons_in_thousands_Value,2018_Metric_tons_Footnote,2018_Metric_tons_MissingValue,2019_Metric_tons_in_thousands_Value,2019_Metric_tons_Footnote,2019_Metric_tons_MissingValue,2020_Metric_tons_in_thousands_Value,2020_Metric_tons_Footnote,2020_Metric_tons_MissingValue,2021_Metric_tons_in_thousands_Value,2021_Metric_tons_Footnote,2021_Metric_tons_MissingValue,2022_Metric_tons_in_thousands_Value,2022_Metric_tons_Footnote,2022_Metric_tons_MissingValue,2023_Metric_tons_in_thousands_Value,2023_Metric_tons_Footnote,2023_Metric_tons_MissingValue
"Azerbaijan",10,"Total goods loaded",33371,"Mirror data - majority reported",,32245,"Mirror data - majority reported",,34904,"Mirror data - majority reported",,33751,"Mirror data - majority reported",,34750,"Mirror data - majority reported",,33864,"Mirror data - majority reported",,29783,"Mirror data - majority reported",,28325,"Mirror data - majority reported",,33720,"Mirror data - majority reported",,39261,"Mirror data - majority reported",,34984,"Mirror data - majority estimated",
"Bahamas",10,"Total goods loaded",4610,"Mirror data - majority reported",,4664,"Mirror data - majority reported",,4601,"Mirror data - majority reported",,3507,"Mirror data - majority reported",,3622,"Mirror data - majority reported",,4291,"Mirror data - majority reported",,4132,"Mirror data - majority reported",,5232,"Mirror data - majority reported",,4705,"Mirror data - majority reported",,5656,"Mirror data - majority reported",,5184,"Mirror data - majority estimated",
"Bahrain",10,"Total goods loaded",10101,"Mirror data - majority reported",,11692,"Mirror data - majority reported",,10533,"Mirror data - majority reported",,10955,"Mirror data - majority reported",,13319,"Mirror data - majority reported",,16739,"Mirror data - majority reported",,20820,"Mirror data - majority reported",,15927,"Mirror data - majority reported",,19027,"Mirror data - majority reported",,17251,"Mirror data - majority reported",,16921,"Mirror data - majority estimated",
"Bangladesh",10,"Total goods loaded",2266,"Mirror data - majority reported",,2338,"Mirror data - majority reported",,2434,"Mirror data - majority reported",,2528,"Mirror data - majority reported",,2560,"Mirror data - majority reported",,2645,"Mirror data - majority reported",,2682,"Mirror data - majority reported",,2688,"Mirror data - majority reported",,3465,"Mirror data - majority reported",,3554,"Mirror data - majority reported",,3166,"Mirror data - majority estimated",
"Barbados",10,"Total goods loaded",489,"Mirror data - majority reported",,597,"Mirror data - majority reported",,338,"Mirror data - majority reported",,494,"Mirror data - majority reported",,521,"Mirror data - majority reported",,472,"Mirror data - majority reported",,394,"Mirror data - majority reported",,302,"Mirror data - majority reported",,362,"Mirror data - majority reported",,248,"Mirror data - majority reported",,273,"Mirror data - majority estimated",
"Belarus",10,"Total goods loaded",20492,"Mirror data - majority reported",,27226,"Mirror data - majority reported",,26335,"Mirror data - majority reported",,26805,"Mirror data - majority reported",,29512,"Mirror data - majority reported",,29219,"Mirror data - majority reported",,29486,"Mirror data - majority reported",,30137,"Mirror data - majority reported",,31544,"Mirror data - majority reported",,18389,"Mirror data - majority reported",,16810,"Mirror data - majority estimated",
"Belgium",10,"Total goods loaded",173323,"Mirror data - majority reported",,172993,"Mirror data - majority reported",,170308,"Mirror data - majority reported",,177217,"Mirror data - majority reported",,192041,"Mirror data - majority reported",,182836,"Mirror data - majority reported",,181100,"Mirror data - majority reported",,172180,"Mirror data - majority reported",,188155,"Mirror data - majority reported",,175091,"Mirror data - majority reported",,188182,"Mirror data - majority reported",
"Belize",10,"Total goods loaded",502,"Mirror data - majority reported",,437,"Mirror data - majority reported",,531,"Mirror data - majority reported",,428,"Mirror data - majority reported",,406,"Mirror data - majority reported",,407,"Mirror data - majority reported",,574,"Mirror data - majority reported",,792,"Mirror data - majority reported",,376,"Mirror data - majority reported",,376,"Mirror data - majority reported",,310,"Mirror data - majority estimated",
"Benin",10,"Total goods loaded",623,"Mirror data - majority reported",,1145,"Mirror data - majority reported",,672,"Mirror data - majority reported",,455,"Mirror data - majority reported",,504,"Mirror data - majority reported",,629,"Mirror data - majority reported",,890,"Mirror data - majority reported",,871,"Mirror data - majority reported",,956,"Mirror data - majority reported",,965,"Mirror data - majority reported",,847,"Mirror data - majority estimated",
"Bermuda",10,"Total goods loaded",508,"Mirror data - majority reported",,33,"Mirror data - majority reported",,232,"Mirror data - majority reported",,285,"Mirror data - majority reported",,149,"Mirror data - majority reported",,222,"Mirror data - majority reported",,106,"Mirror data - majority reported",,115,"Mirror data - majority reported",,61,"Mirror data - majority reported",,32,"Mirror data - majority reported",,205,"Mirror data - majority estimated",
"Bhutan",10,"Total goods loaded",82,"Mirror data - majority reported",,136,"Mirror data - majority reported",,258,"Mirror data - reported",,139,"Mirror data - majority reported",,200,"Mirror data - majority reported",,376,"Mirror data - majority reported",,440,"Mirror data - majority reported",,307,"Mirror data - majority reported",,359,"Mirror data - majority reported",,407,"Mirror data - majority reported",,471,"Mirror data - majority estimated",
"Bolivia (Plurinational State of)",10,"Total goods loaded",8076,"Mirror data - majority reported",,8068,"Mirror data - majority reported",,7903,"Mirror data - majority reported",,8704,"Mirror data - majority reported",,8021,"Mirror data - majority reported",,7781,"Mirror data - majority reported",,7436,"Mirror data - majority reported",,7123,"Mirror data - majority reported",,7076,"Mirror data - majority reported",,6754,"Mirror data - majority reported",,5774,"Mirror data - majority estimated",
"Bonaire, Sint Eustatius and Saba",10,"Total goods loaded",52,"Mirror data - majority reported",,308,"Mirror data - majority reported",,73,"Mirror data - majority reported",,61,"Mirror data - majority reported",,140,"Mirror data - majority reported",,94,"Mirror data - majority reported",,280,"Mirror data - majority reported",,108,"Mirror data - majority reported",,236,"Mirror data - majority reported",,72,"Mirror data - majority estimated",,149,"Mirror data - majority estimated",
"Bosnia and Herzegovina",10,"Total goods loaded",3689,"Mirror data - majority reported",,3979,"Mirror data - majority reported",,3865,"Mirror data - majority reported",,3934,"Mirror data - majority reported",,4247,"Mirror data - majority reported",,4199,"Mirror data - majority reported",,4010,"Mirror data - majority reported",,3638,"Mirror data - majority reported",,4233,"Mirror data - majority reported",,5052,"Mirror data - majority reported",,4774,"Mirror data - majority estimated",
"Botswana",10,"Total goods loaded",560,"Mirror data - majority reported",,571,"Mirror data - majority reported",,547,"Mirror data - majority reported",,510,"Mirror data - majority reported",,511,"Mirror data - majority reported",,524,"Mirror data - majority reported",,519,"Mirror data - majority reported",,530,"Mirror data - majority reported",,617,"Mirror data - majority reported",,777,"Mirror data - majority reported",,678,"Mirror data - majority estimated",
"Bouvet Island",10,"Total goods loaded",0,"Mirror data - reported",,0,"Mirror data - reported",,1,"Mirror data - reported",,1,"Mirror data - reported",,0,"Mirror data - reported",,0,"Mirror data - reported",,0,"Mirror data - reported",,0,"Mirror data - reported",,0,"Mirror data - reported",,1,"Mirror data - majority reported",,0,"Mirror data - majority estimated",
"Brazil",10,"Total goods loaded",491595,"Mirror data - majority reported",,519399,"Mirror data - majority reported",,599099,"Mirror data - majority reported",,630304,"Mirror data - majority reported",,656496,"Mirror data - majority reported",,678649,"Mirror data - majority reported",,669650,"Mirror data - majority reported",,673832,"Mirror data - majority reported",,677201,"Mirror data - majority reported",,678356,"Mirror data - majority reported",,743859,"Mirror data - majority reported",
"British Antarctic Territory",10,"Total goods loaded",,,,,,,0,"Mirror data - reported",,,,,0,"Mirror data - reported",,0,"Mirror data - reported",,0,"Mirror data - reported",,0,"Mirror data - reported",,0,"Mirror data - reported",,0,"Mirror data - reported",,,,
"British Indian Ocean Territory",10,"Total goods loaded",3,"Mirror data - majority reported",,1,"Mirror data - majority reported",,4,"Mirror data - majority reported",,3,"Mirror data - majority reported",,6,"Mirror data - majority reported",,6,"Mirror data - majority reported",,137,"Mirror data - majority reported",,4,"Mirror data - majority reported",,1,"Mirror data - majority reported",,2,"Mirror data - majority estimated",,4,"Mirror data - majority estimated",
"British Virgin Islands",10,"Total goods loaded",270,"Mirror data - majority reported",,148,"Mirror data - majority reported",,123,"Mirror data - majority reported",,153,"Mirror data - majority reported",,203,"Mirror data - majority reported",,380,"Mirror data - majority reported",,108,"Mirror data - majority reported",,93,"Mirror data - majority reported",,72,"Mirror data - majority reported",,83,"Mirror data - majority reported",,191,"Mirror data - majority estimated",
"Brunei Darussalam",10,"Total goods loaded",12874,"Mirror data - majority reported",,12319,"Mirror data - majority reported",,12803,"Mirror data - majority reported",,12524,"Mirror data - majority reported",,12667,"Mirror data - majority reported",,12500,"Mirror data - majority reported",,13514,"Mirror data - majority reported",,18991,"Mirror data - majority reported",,18222,"Mirror data - majority reported",,16732,"Mirror data - majority reported",,16227,"Mirror data - majority estimated",
"Bulgaria",10,"Total goods loaded",14236,"Mirror data - majority reported",,14554,"Mirror data - majority reported",,14137,"Mirror data - majority reported",,15729,"Mirror data - majority reported",,16378,"Mirror data - majority reported",,14758,"Mirror data - majority reported",,16834,"Mirror data - majority reported",,15489,"Mirror data - majority reported",,15572,"Mirror data - majority reported",,17144,"Mirror data - majority reported",,17379,"Mirror data - majority reported",
