Economy_Label,CargoType_Code,CargoType_Label,2013_Metric_tons_in_thousands_Value,2013_Metric_tons_Footnote,2013_Metric_tons_MissingValue,2014_Metric_tons_in_thousands_Value,2014_Metric_tons_Footnote,2014_Metric_tons_MissingValue,2015_Metric_tons_in_thousands_Value,2015_Metric_tons_Footnote,2015_Metric_tons_MissingValue,2016_Metric_tons_in_thousands_Value,2016_Metric_tons_Footnote,2016_Metric_tons_MissingValue,2017_Metric_tons_in_thousands_Value,2017_Metric_tons_Footnote,2017_Metric_tons_MissingValue,2018_Metric_tons_in_thousands_Value,2018_Metric_tons_Footnote,2018_Metric_tons_MissingValue,2019_Metric_tons_in_thousands_Value,2019_Metric_tons_Footnote,2019_Metric_tons_MissingValue,2020_Metric_tons_in_thousands_Value,2020_Metric_tons_Footnote,2020_Metric_tons_MissingValue,2021_Metric_tons_in_thousands_Value,2021_Metric_tons_Footnote,2021_Metric_tons_MissingValue,2022_Metric_tons_in_thousands_Value,2022_Metric_tons_Footnote,2022_Metric_tons_MissingValue,2023_Metric_tons_in_thousands_Value,2023_Metric_tons_Footnote,2023_Metric_tons_MissingValue
"Cyprus",10,"Total goods loaded",4776,"Mirror data - majority reported",,3722,"Mirror data - majority reported",,4508,"Mirror data - majority reported",,4015,"Mirror data - majority reported",,4805,"Mirror data - majority reported",,4760,"Mirror data - majority reported",,4360,"Mirror data - majority reported",,5097,"Mirror data - majority reported",,3985,"Mirror data - majority reported",,3846,"Mirror data - majority reported",,4260,"Mirror data - majority estimated",
"Czechia",10,"Total goods loaded",21369,"Mirror data - majority reported",,22135,"Mirror data - majority reported",,22513,"Mirror data - majority reported",,23486,"Mirror data - majority reported",,24698,"Mirror data - majority reported",,25439,"Mirror data - majority reported",,26042,"Mirror data - majority reported",,26784,"Mirror data - majority reported",,28200,"Mirror data - majority reported",,26682,"Mirror data - majority reported",,24122,"Mirror data - majority reported",
"Dem. People's Rep. of Korea",10,"Total goods loaded",9148,"Mirror data - majority reported",,8766,"Mirror data - majority reported",,10110,"Mirror data - majority reported",,4724,"Mirror data - majority reported",,3530,"Mirror data - majority reported",,264,"Mirror data - majority reported",,240,"Mirror data - majority reported",,142,"Mirror data - majority reported",,213,"Mirror data - majority reported",,222,"Mirror data - majority estimated",,217,"Mirror data - majority estimated",
"Dem. Rep. of the Congo",10,"Total goods loaded",2194,"Mirror data - majority reported",,2271,"Mirror data - majority reported",,1805,"Mirror data - majority reported",,1723,"Mirror data - majority reported",,2151,"Mirror data - majority reported",,1964,"Mirror data - majority reported",,2331,"Mirror data - majority reported",,2907,"Mirror data - majority reported",,3151,"Mirror data - majority reported",,3897,"Mirror data - majority reported",,4101,"Mirror data - majority estimated",
"Denmark",10,"Total goods loaded",27692,"Mirror data - majority reported",,26310,"Mirror data - majority reported",,27924,"Mirror data - majority reported",,27013,"Mirror data - majority reported",,27582,"Mirror data - majority reported",,27349,"Mirror data - majority reported",,25874,"Mirror data - majority reported",,26479,"Mirror data - majority reported",,26982,"Mirror data - majority reported",,25878,"Mirror data - majority reported",,25071,"Mirror data - majority reported",
"Djibouti",10,"Total goods loaded",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not publishable"
"Dominica",10,"Total goods loaded",407,"Mirror data - majority reported",,263,"Mirror data - majority reported",,232,"Mirror data - majority reported",,107,"Mirror data - majority reported",,60,"Mirror data - majority reported",,100,"Mirror data - majority reported",,121,"Mirror data - majority reported",,126,"Mirror data - majority reported",,96,"Mirror data - majority reported",,53,"Mirror data - majority reported",,65,"Mirror data - majority estimated",
"Dominican Republic",10,"Total goods loaded",2946,"Mirror data - majority reported",,3202,"Mirror data - majority reported",,2797,"Mirror data - majority reported",,2391,"Mirror data - majority reported",,2456,"Mirror data - majority reported",,2421,"Mirror data - majority reported",,2600,"Mirror data - majority reported",,2315,"Mirror data - majority reported",,2853,"Mirror data - majority reported",,3146,"Mirror data - majority reported",,2926,"Mirror data - majority estimated",
"Ecuador",10,"Total goods loaded",26120,"Mirror data - majority reported",,25701,"Mirror data - majority reported",,28815,"Mirror data - majority reported",,29367,"Mirror data - majority reported",,27302,"Mirror data - majority reported",,25617,"Mirror data - majority reported",,27572,"Mirror data - majority reported",,28816,"Mirror data - majority reported",,29721,"Mirror data - majority reported",,28025,"Mirror data - majority reported",,28187,"Mirror data - majority estimated",
"Egypt",10,"Total goods loaded",31312,"Mirror data - majority reported",,28364,"Mirror data - majority reported",,28624,"Mirror data - majority reported",,30214,"Mirror data - majority reported",,35834,"Mirror data - majority reported",,39988,"Mirror data - majority reported",,46070,"Mirror data - majority reported",,45312,"Mirror data - majority reported",,52340,"Mirror data - majority reported",,47590,"Mirror data - majority reported",,49733,"Mirror data - majority estimated",
"El Salvador",10,"Total goods loaded",1817,"Mirror data - majority reported",,1813,"Mirror data - majority reported",,1998,"Mirror data - majority reported",,1894,"Mirror data - majority reported",,2153,"Mirror data - majority reported",,2078,"Mirror data - majority reported",,2141,"Mirror data - majority reported",,2010,"Mirror data - majority reported",,2137,"Mirror data - majority reported",,2104,"Mirror data - majority reported",,1988,"Mirror data - majority estimated",
"Equatorial Guinea",10,"Total goods loaded",17756,"Mirror data - majority reported",,16637,"Mirror data - majority reported",,15005,"Mirror data - majority reported",,13776,"Mirror data - majority reported",,12842,"Mirror data - majority reported",,13160,"Mirror data - majority reported",,11320,"Mirror data - majority reported",,9470,"Mirror data - majority reported",,10120,"Mirror data - majority reported",,10641,"Mirror data - majority reported",,8856,"Mirror data - majority estimated",
"Eritrea",10,"Total goods loaded",,,"Not publishable",65,"Mirror data - majority reported",,64,"Mirror data - majority reported",,43,"Mirror data - majority reported",,86,"Mirror data - majority reported",,79,"Mirror data - majority reported",,83,"Mirror data - majority reported",,89,"Mirror data - majority reported",,85,"Mirror data - majority reported",,131,"Mirror data - majority estimated",,100,"Mirror data - majority estimated",
"Estonia",10,"Total goods loaded",9321,"Mirror data - majority reported",,10447,"Mirror data - majority reported",,8591,"Mirror data - majority reported",,9157,"Mirror data - majority reported",,9871,"Mirror data - majority reported",,10391,"Mirror data - majority reported",,10702,"Mirror data - majority reported",,9458,"Mirror data - majority reported",,10497,"Mirror data - majority reported",,10876,"Mirror data - majority reported",,9618,"Mirror data - majority reported",
"Eswatini",10,"Total goods loaded",2010,"Mirror data - majority reported",,1467,"Mirror data - majority reported",,793,"Mirror data - majority reported",,748,"Mirror data - majority reported",,816,"Mirror data - majority reported",,833,"Mirror data - majority reported",,981,"Mirror data - majority reported",,882,"Mirror data - majority reported",,797,"Mirror data - majority reported",,816,"Mirror data - majority estimated",,915,"Mirror data - majority estimated",
"Ethiopia",10,"Total goods loaded",500,"Mirror data - majority reported",,590,"Mirror data - majority reported",,629,"Mirror data - majority reported",,591,"Mirror data - majority reported",,651,"Mirror data - majority reported",,648,"Mirror data - majority reported",,770,"Mirror data - majority reported",,679,"Mirror data - majority reported",,642,"Mirror data - majority reported",,576,"Mirror data - majority reported",,637,"Mirror data - majority estimated",
"Falkland Islands (Malvinas)",10,"Total goods loaded",68,"Mirror data - reported",,65,"Mirror data - majority reported",,61,"Mirror data - reported",,54,"Mirror data - majority reported",,69,"Mirror data - majority reported",,89,"Mirror data - majority reported",,102,"Mirror data - majority reported",,75,"Mirror data - majority reported",,85,"Mirror data - majority reported",,93,"Mirror data - majority estimated",,90,"Mirror data - majority estimated",
"Faroe Islands",10,"Total goods loaded",393,"Mirror data - majority reported",,411,"Mirror data - majority reported",,482,"Mirror data - majority reported",,523,"Mirror data - majority reported",,544,"Mirror data - majority reported",,516,"Mirror data - majority reported",,541,"Mirror data - majority reported",,522,"Mirror data - majority reported",,543,"Mirror data - majority reported",,,,"Not publishable",660,"Mirror data - majority estimated",
"Fiji",10,"Total goods loaded",1236,"Mirror data - majority reported",,1327,"Mirror data - majority reported",,1179,"Mirror data - majority reported",,1119,"Mirror data - majority reported",,1172,"Mirror data - majority reported",,1065,"Mirror data - majority reported",,1149,"Mirror data - majority reported",,1105,"Mirror data - majority reported",,1125,"Mirror data - majority reported",,1248,"Mirror data - majority estimated",,1161,"Mirror data - majority estimated",
"Finland",10,"Total goods loaded",37997,"Mirror data - majority reported",,36919,"Mirror data - majority reported",,35167,"Mirror data - majority reported",,38617,"Mirror data - majority reported",,38280,"Mirror data - majority reported",,40124,"Mirror data - majority reported",,41271,"Mirror data - majority reported",,37780,"Mirror data - majority reported",,37513,"Mirror data - majority reported",,36694,"Mirror data - majority reported",,33172,"Mirror data - majority reported",
"France",10,"Total goods loaded",126359,"Mirror data - majority reported",,127146,"Mirror data - majority reported",,129211,"Mirror data - majority reported",,128511,"Mirror data - majority reported",,130955,"Mirror data - majority reported",,132510,"Mirror data - majority reported",,129020,"Mirror data - majority reported",,113363,"Mirror data - majority reported",,121585,"Mirror data - majority reported",,128324,"Mirror data - majority reported",,119959,"Mirror data - majority reported",
"French Polynesia",10,"Total goods loaded",24,"Mirror data - majority reported",,21,"Mirror data - majority reported",,21,"Mirror data - majority reported",,23,"Mirror data - majority reported",,19,"Mirror data - majority reported",,28,"Mirror data - majority reported",,29,"Mirror data - majority reported",,22,"Mirror data - majority reported",,24,"Mirror data - majority reported",,29,"Mirror data - majority estimated",,23,"Mirror data - majority estimated",
"French Southern Territories",10,"Total goods loaded",1,"Mirror data - reported",,1,"Mirror data - reported",,2,"Mirror data - reported",,1,"Mirror data - reported",,1,"Mirror data - reported",,1,"Mirror data - reported",,2,"Mirror data - majority reported",,4,"Mirror data - majority reported",,1,"Mirror data - majority reported",,1,"Mirror data - majority reported",,1,"Mirror data - majority estimated",
"Gabon",10,"Total goods loaded",13518,"Mirror data - majority reported",,13944,"Mirror data - majority reported",,14205,"Mirror data - majority reported",,13216,"Mirror data - majority reported",,12007,"Mirror data - majority reported",,11277,"Mirror data - majority reported",,12088,"Mirror data - majority reported",,10150,"Mirror data - majority reported",,11032,"Mirror data - majority reported",,10608,"Mirror data - majority reported",,10038,"Mirror data - majority estimated",
"Gambia",10,"Total goods loaded",222,"Mirror data - majority reported",,147,"Mirror data - majority reported",,163,"Mirror data - majority reported",,189,"Mirror data - majority reported",,229,"Mirror data - majority reported",,108,"Mirror data - majority reported",,196,"Mirror data - majority reported",,132,"Mirror data - majority reported",,127,"Mirror data - majority reported",,163,"Mirror data - majority reported",,420,"Mirror data - majority estimated",
"Georgia",10,"Total goods loaded",1629,"Mirror data - majority reported",,1920,"Mirror data - majority reported",,2110,"Mirror data - majority reported",,1336,"Mirror data - majority reported",,1480,"Mirror data - majority reported",,1467,"Mirror data - majority reported",,1637,"Mirror data - majority reported",,1818,"Mirror data - majority reported",,2467,"Mirror data - majority reported",,2806,"Mirror data - majority reported",,1530,"Mirror data - majority estimated",
"Germany",10,"Total goods loaded",279834,"Mirror data - majority reported",,279955,"Mirror data - majority reported",,285267,"Mirror data - majority reported",,283689,"Mirror data - majority reported",,297965,"Mirror data - majority reported",,302457,"Mirror data - majority reported",,265627,"Mirror data - majority reported",,295122,"Mirror data - majority reported",,311509,"Mirror data - majority reported",,259359,"Mirror data - majority reported",,247552,"Mirror data - majority reported",
"Ghana",10,"Total goods loaded",6769,"Mirror data - majority reported",,6542,"Mirror data - majority reported",,6355,"Mirror data - majority reported",,6061,"Mirror data - majority reported",,8834,"Mirror data - majority reported",,11113,"Mirror data - majority reported",,12327,"Mirror data - majority reported",,11311,"Mirror data - majority reported",,10439,"Mirror data - majority reported",,10192,"Mirror data - majority reported",,9462,"Mirror data - majority estimated",
"Gibraltar",10,"Total goods loaded",577,"Mirror data - majority reported",,1228,"Mirror data - majority reported",,882,"Mirror data - majority reported",,358,"Mirror data - majority reported",,133,"Mirror data - majority reported",,127,"Mirror data - majority reported",,46,"Mirror data - majority reported",,178,"Mirror data - majority reported",,70,"Mirror data - majority reported",,330,"Mirror data - majority reported",,279,"Mirror data - majority estimated",
"Greece",10,"Total goods loaded",24090,"Mirror data - majority reported",,25288,"Mirror data - majority reported",,22978,"Mirror data - majority reported",,24469,"Mirror data - majority reported",,28890,"Mirror data - majority reported",,29411,"Mirror data - majority reported",,29176,"Mirror data - majority reported",,29375,"Mirror data - majority reported",,32038,"Mirror data - majority reported",,32242,"Mirror data - majority reported",,34375,"Mirror data - majority reported",
"Greenland",10,"Total goods loaded",213,"Mirror data - majority reported",,214,"Mirror data - majority reported",,254,"Mirror data - majority reported",,246,"Mirror data - majority reported",,277,"Mirror data - majority reported",,278,"Mirror data - majority reported",,260,"Mirror data - majority reported",,275,"Mirror data - majority reported",,315,"Mirror data - majority reported",,362,"Mirror data - majority reported",,392,"Mirror data - majority estimated",
"Grenada",10,"Total goods loaded",25,"Mirror data - majority reported",,27,"Mirror data - majority reported",,25,"Mirror data - majority reported",,22,"Mirror data - majority reported",,24,"Mirror data - majority reported",,26,"Mirror data - majority reported",,23,"Mirror data - majority reported",,19,"Mirror data - majority reported",,21,"Mirror data - majority reported",,20,"Mirror data - majority reported",,22,"Mirror data - majority estimated",
"Guam",10,"Total goods loaded",69,"Mirror data - majority reported",,,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not publishable"
"Guatemala",10,"Total goods loaded",4882,"Mirror data - majority reported",,5324,"Mirror data - majority reported",,6078,"Mirror data - majority reported",,6025,"Mirror data - majority reported",,6093,"Mirror data - majority reported",,5736,"Mirror data - majority reported",,5838,"Mirror data - majority reported",,5600,"Mirror data - majority reported",,6084,"Mirror data - majority reported",,6915,"Mirror data - majority reported",,6314,"Mirror data - majority estimated",
"Guinea",10,"Total goods loaded",14190,"Mirror data - majority reported",,14521,"Mirror data - majority reported",,13963,"Mirror data - majority reported",,10151,"Mirror data - majority reported",,16610,"Mirror data - majority reported",,19013,"Mirror data - majority reported",,20771,"Mirror data - majority reported",,24929,"Mirror data - majority reported",,22830,"Mirror data - majority reported",,24821,"Mirror data - majority reported",,,,"Not publishable"
"Guinea-Bissau",10,"Total goods loaded",251,"Mirror data - majority reported",,191,"Mirror data - majority reported",,163,"Mirror data - majority reported",,202,"Mirror data - reported",,139,"Mirror data - majority reported",,73,"Mirror data - majority reported",,130,"Mirror data - majority reported",,156,"Mirror data - majority reported",,164,"Mirror data - majority reported",,129,"Mirror data - majority estimated",,92,"Mirror data - majority estimated",
"Guyana",10,"Total goods loaded",2235,"Mirror data - majority reported",,1931,"Mirror data - majority reported",,2484,"Mirror data - majority reported",,2227,"Mirror data - majority reported",,2623,"Mirror data - majority reported",,2856,"Mirror data - majority reported",,2854,"Mirror data - majority reported",,4784,"Mirror data - majority reported",,7440,"Mirror data - majority reported",,14199,"Mirror data - majority reported",,19575,"Mirror data - majority estimated",
"Haiti",10,"Total goods loaded",192,"Mirror data - majority reported",,177,"Mirror data - majority reported",,152,"Mirror data - majority reported",,141,"Mirror data - majority reported",,152,"Mirror data - majority reported",,175,"Mirror data - majority reported",,128,"Mirror data - majority reported",,162,"Mirror data - majority reported",,197,"Mirror data - majority reported",,170,"Mirror data - majority estimated",,146,"Mirror data - majority estimated",
"Heard Island and McDonald Islands",10,"Total goods loaded",22,"Mirror data - reported",,0,"Mirror data - reported",,0,"Mirror data - reported",,0,"Mirror data - reported",,0,"Mirror data - reported",,0,"Mirror data - reported",,0,"Mirror data - reported",,0,"Mirror data - reported",,0,"Mirror data - reported",,0,"Mirror data - reported",,0,"Mirror data - majority reported",
"Holy See",10,"Total goods loaded",2,"Mirror data - majority reported",,4,"Mirror data - majority reported",,5,"Mirror data - majority reported",,1,"Mirror data - majority reported",,1,"Mirror data - majority reported",,3,"Mirror data - majority reported",,3,"Mirror data - majority reported",,2,"Mirror data - majority reported",,3,"Mirror data - majority reported",,3,"Mirror data - majority estimated",,162,"Mirror data - majority estimated",
"Honduras",10,"Total goods loaded",3377,"Mirror data - majority reported",,3257,"Mirror data - majority reported",,1976,"Mirror data - majority reported",,1962,"Mirror data - majority reported",,2207,"Mirror data - majority reported",,2277,"Mirror data - majority reported",,2348,"Mirror data - majority reported",,2252,"Mirror data - majority reported",,2213,"Mirror data - majority reported",,2200,"Mirror data - majority reported",,2517,"Mirror data - majority estimated",
"Hungary",10,"Total goods loaded",19112,"Mirror data - majority reported",,20340,"Mirror data - majority reported",,22887,"Mirror data - majority reported",,21430,"Mirror data - majority reported",,22901,"Mirror data - majority reported",,22311,"Mirror data - majority reported",,24035,"Mirror data - majority reported",,24919,"Mirror data - majority reported",,23351,"Mirror data - majority reported",,21013,"Mirror data - majority reported",,20247,"Mirror data - majority reported",
"Iceland",10,"Total goods loaded",1468,"Mirror data - majority reported",,1389,"Mirror data - majority reported",,1352,"Mirror data - majority reported",,1278,"Mirror data - majority reported",,1391,"Mirror data - majority reported",,2352,"Mirror data - majority reported",,1471,"Mirror data - majority reported",,1256,"Mirror data - majority reported",,1355,"Mirror data - majority reported",,1569,"Mirror data - majority reported",,1398,"Mirror data - majority estimated",
"India",10,"Total goods loaded",115084,"Mirror data - majority reported",,115993,"Mirror data - majority reported",,113231,"Mirror data - majority reported",,123606,"Mirror data - majority reported",,143596,"Mirror data - majority reported",,136924,"Mirror data - majority reported",,143293,"Mirror data - majority reported",,155010,"Mirror data - majority reported",,169667,"Mirror data - majority reported",,162492,"Mirror data - majority reported",,156202,"Mirror data - majority reported",
"Indonesia",10,"Total goods loaded",571687,"Mirror data - majority reported",,502081,"Mirror data - majority reported",,459589,"Mirror data - majority reported",,428485,"Mirror data - majority reported",,508525,"Mirror data - majority reported",,544252,"Mirror data - majority reported",,583558,"Mirror data - majority reported",,570758,"Mirror data - majority reported",,600041,"Mirror data - majority reported",,608475,"Mirror data - majority reported",,546482,"Mirror data - majority estimated",
"Indonesia (...2002)",10,"Total goods loaded",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable"
"Iran (Islamic Republic of)",10,"Total goods loaded",67633,"Mirror data - majority reported",,76047,"Mirror data - majority reported",,68547,"Mirror data - majority reported",,117902,"Mirror data - majority reported",,142079,"Mirror data - majority reported",,122733,"Mirror data - majority reported",,50360,"Mirror data - majority reported",,20637,"Mirror data - majority reported",,14656,"Mirror data - majority reported",,16429,"Mirror data - majority reported",,19820,"Mirror data - majority estimated",
"Iraq",10,"Total goods loaded",115744,"Mirror data - majority reported",,116961,"Mirror data - majority reported",,144481,"Mirror data - majority reported",,168528,"Mirror data - majority reported",,179500,"Mirror data - majority reported",,193980,"Mirror data - majority reported",,196043,"Mirror data - majority reported",,179328,"Mirror data - majority reported",,173721,"Mirror data - majority reported",,192850,"Mirror data - majority reported",,190425,"Mirror data - majority estimated",
"Ireland",10,"Total goods loaded",15581,"Mirror data - majority reported",,16260,"Mirror data - majority reported",,17266,"Mirror data - majority reported",,17383,"Mirror data - majority reported",,17878,"Mirror data - majority reported",,18916,"Mirror data - majority reported",,19317,"Mirror data - majority reported",,18743,"Mirror data - majority reported",,20116,"Mirror data - majority reported",,18824,"Mirror data - majority reported",,18209,"Mirror data - majority reported",
"Israel",10,"Total goods loaded",15816,"Mirror data - majority reported",,16960,"Mirror data - majority reported",,15716,"Mirror data - majority reported",,15630,"Mirror data - majority reported",,16763,"Mirror data - majority reported",,16824,"Mirror data - majority reported",,15826,"Mirror data - majority reported",,14946,"Mirror data - majority reported",,15986,"Mirror data - majority reported",,17964,"Mirror data - majority reported",,17743,"Mirror data - majority reported",
"Italy",10,"Total goods loaded",87298,"Mirror data - majority reported",,86421,"Mirror data - majority reported",,92259,"Mirror data - majority reported",,94850,"Mirror data - majority reported",,103740,"Mirror data - majority reported",,102331,"Mirror data - majority reported",,101491,"Mirror data - majority reported",,94074,"Mirror data - majority reported",,102490,"Mirror data - majority reported",,104219,"Mirror data - majority reported",,100959,"Mirror data - majority reported",
"Jamaica",10,"Total goods loaded",7821,"Mirror data - majority reported",,6047,"Mirror data - majority reported",,7670,"Mirror data - majority reported",,6319,"Mirror data - majority reported",,5713,"Mirror data - majority reported",,6098,"Mirror data - majority reported",,6152,"Mirror data - majority reported",,5138,"Mirror data - majority reported",,4603,"Mirror data - majority reported",,3969,"Mirror data - majority reported",,4690,"Mirror data - majority estimated",
"Japan",10,"Total goods loaded",175246,"Mirror data - majority reported",,165723,"Mirror data - majority reported",,171494,"Mirror data - majority reported",,179037,"Mirror data - majority reported",,172893,"Mirror data - majority reported",,168893,"Mirror data - majority reported",,164367,"Mirror data - majority reported",,148803,"Mirror data - majority reported",,154977,"Mirror data - majority reported",,152447,"Mirror data - majority reported",,149791,"Mirror data - majority reported",
"Jordan",10,"Total goods loaded",4259,"Mirror data - majority reported",,5022,"Mirror data - majority reported",,5069,"Mirror data - majority reported",,4845,"Mirror data - majority reported",,5474,"Mirror data - majority reported",,5078,"Mirror data - majority reported",,5689,"Mirror data - majority reported",,6056,"Mirror data - majority reported",,6701,"Mirror data - majority reported",,7236,"Mirror data - majority reported",,7456,"Mirror data - majority estimated",
"Kazakhstan",10,"Total goods loaded",99574,"Mirror data - majority reported",,95753,"Mirror data - majority reported",,90147,"Mirror data - majority reported",,85449,"Mirror data - majority reported",,96513,"Mirror data - majority reported",,97164,"Mirror data - majority reported",,101430,"Mirror data - majority reported",,105289,"Mirror data - majority reported",,94451,"Mirror data - majority reported",,101086,"Mirror data - majority reported",,119160,"Mirror data - majority estimated",
"Kenya",10,"Total goods loaded",2202,"Mirror data - majority reported",,2716,"Mirror data - majority reported",,2433,"Mirror data - majority reported",,2166,"Mirror data - majority reported",,2138,"Mirror data - majority reported",,2235,"Mirror data - majority reported",,2117,"Mirror data - majority reported",,2417,"Mirror data - majority reported",,2774,"Mirror data - majority reported",,2880,"Mirror data - majority reported",,2949,"Mirror data - majority estimated",
"Kiribati",10,"Total goods loaded",39,"Mirror data - majority reported",,46,"Mirror data - majority reported",,94,"Mirror data - majority reported",,88,"Mirror data - majority reported",,85,"Mirror data - majority reported",,68,"Mirror data - majority reported",,58,"Mirror data - majority reported",,69,"Mirror data - majority reported",,66,"Mirror data - majority reported",,73,"Mirror data - majority reported",,57,"Mirror data - majority estimated",
"Kuwait",10,"Total goods loaded",133881,"Mirror data - majority reported",,133228,"Mirror data - majority reported",,123248,"Mirror data - majority reported",,134050,"Mirror data - majority reported",,132340,"Mirror data - majority reported",,136309,"Mirror data - majority reported",,129303,"Mirror data - majority reported",,123000,"Mirror data - majority reported",,119938,"Mirror data - majority reported",,132093,"Mirror data - majority reported",,131399,"Mirror data - majority estimated",
"Kyrgyzstan",10,"Total goods loaded",242,"Mirror data - majority reported",,256,"Mirror data - majority reported",,159,"Mirror data - majority reported",,282,"Mirror data - majority reported",,332,"Mirror data - majority reported",,446,"Mirror data - majority reported",,459,"Mirror data - majority reported",,392,"Mirror data - majority reported",,434,"Mirror data - majority reported",,650,"Mirror data - majority reported",,997,"Mirror data - majority estimated",
"Lao People's Dem. Rep.",10,"Total goods loaded",1619,"Mirror data - majority reported",,2139,"Mirror data - majority reported",,1887,"Mirror data - majority reported",,1758,"Mirror data - majority reported",,2097,"Mirror data - majority reported",,2299,"Mirror data - majority reported",,3062,"Mirror data - majority reported",,3535,"Mirror data - majority reported",,4664,"Mirror data - majority reported",,5904,"Mirror data - majority reported",,,,"Not publishable"
"Latvia",10,"Total goods loaded",10506,"Mirror data - majority reported",,11626,"Mirror data - majority reported",,11430,"Mirror data - majority reported",,12773,"Mirror data - majority reported",,12717,"Mirror data - majority reported",,14112,"Mirror data - majority reported",,12836,"Mirror data - majority reported",,13880,"Mirror data - majority reported",,14266,"Mirror data - majority reported",,15322,"Mirror data - majority reported",,13732,"Mirror data - majority reported",
"Lebanon",10,"Total goods loaded",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not publishable",,,"Not publishable"
"Lesotho",10,"Total goods loaded",163,"Mirror data - majority reported",,158,"Mirror data - majority reported",,140,"Mirror data - reported",,146,"Mirror data - majority reported",,132,"Mirror data - majority reported",,108,"Mirror data - majority reported",,128,"Mirror data - majority reported",,126,"Mirror data - majority reported",,123,"Mirror data - majority reported",,127,"Mirror data - majority reported",,125,"Mirror data - majority estimated",
"Liberia",10,"Total goods loaded",2785,"Mirror data - majority reported",,2525,"Mirror data - majority reported",,2699,"Mirror data - majority reported",,1913,"Mirror data - majority reported",,1317,"Mirror data - majority reported",,2730,"Mirror data - majority reported",,2850,"Mirror data - majority reported",,3576,"Mirror data - majority reported",,3143,"Mirror data - majority reported",,4044,"Mirror data - majority estimated",,3530,"Mirror data - majority estimated",
"Libya",10,"Total goods loaded",49721,"Mirror data - majority reported",,26574,"Mirror data - majority reported",,23389,"Mirror data - majority reported",,20861,"Mirror data - majority reported",,42908,"Mirror data - majority reported",,54355,"Mirror data - majority reported",,56838,"Mirror data - majority reported",,20125,"Mirror data - majority reported",,60469,"Mirror data - majority reported",,49640,"Mirror data - majority estimated",,54861,"Mirror data - majority estimated",
"Lithuania",10,"Total goods loaded",17452,"Mirror data - majority reported",,17667,"Mirror data - majority reported",,19142,"Mirror data - majority reported",,20722,"Mirror data - majority reported",,21562,"Mirror data - majority reported",,20025,"Mirror data - majority reported",,20358,"Mirror data - majority reported",,22227,"Mirror data - majority reported",,22806,"Mirror data - majority reported",,22602,"Mirror data - majority reported",,20867,"Mirror data - majority reported",
"Luxembourg",10,"Total goods loaded",7559,"Mirror data - majority reported",,8057,"Mirror data - majority reported",,8437,"Mirror data - majority reported",,8540,"Mirror data - majority reported",,7856,"Mirror data - majority reported",,7842,"Mirror data - majority reported",,7724,"Mirror data - majority reported",,7496,"Mirror data - majority reported",,7838,"Mirror data - majority reported",,7205,"Mirror data - majority reported",,6415,"Mirror data - majority reported",
"Madagascar",10,"Total goods loaded",894,"Mirror data - majority reported",,802,"Mirror data - majority reported",,802,"Mirror data - majority reported",,817,"Mirror data - majority reported",,1162,"Mirror data - majority reported",,1012,"Mirror data - majority reported",,1039,"Mirror data - majority reported",,1063,"Mirror data - majority reported",,1273,"Mirror data - majority reported",,1283,"Mirror data - majority reported",,1197,"Mirror data - majority estimated",
"Malawi",10,"Total goods loaded",187,"Mirror data - majority reported",,191,"Mirror data - majority reported",,191,"Mirror data - majority reported",,168,"Mirror data - majority reported",,138,"Mirror data - majority reported",,116,"Mirror data - majority reported",,132,"Mirror data - majority reported",,160,"Mirror data - majority reported",,175,"Mirror data - majority reported",,153,"Mirror data - majority reported",,122,"Mirror data - majority estimated",
"Malaysia",10,"Total goods loaded",170304,"Mirror data - majority reported",,168538,"Mirror data - majority reported",,184401,"Mirror data - majority reported",,182339,"Mirror data - majority reported",,273564,"Mirror data - majority reported",,244273,"Mirror data - majority reported",,202353,"Mirror data - majority reported",,227359,"Mirror data - majority reported",,284049,"Mirror data - majority reported",,284127,"Mirror data - majority reported",,284927,"Mirror data - majority estimated",
"Maldives",10,"Total goods loaded",56,"Mirror data - majority reported",,51,"Mirror data - majority reported",,65,"Mirror data - majority reported",,191,"Mirror data - majority reported",,352,"Mirror data - majority reported",,136,"Mirror data - majority reported",,145,"Mirror data - majority reported",,97,"Mirror data - majority reported",,180,"Mirror data - majority reported",,182,"Mirror data - majority reported",,298,"Mirror data - majority estimated",
