Country,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Cuba,1982.0,1802.0,1996.0,1240.0,1842.0,1113.0,1477.0,1710.0,971.0,901.0,806.0
Curacao,3958.0,2388.0,2441.0,3100.0,2398.0,1139.0,844.0,909.0,1204.0,1106.0,1201.0
Cyprus,4776.0,3722.0,4508.0,4015.0,4805.0,4760.0,4360.0,5097.0,3985.0,3846.0,4260.0
Czechia,21369.0,22135.0,22513.0,23486.0,24698.0,25439.0,26042.0,26784.0,28200.0,26682.0,24122.0
Dem. People's Rep. of Korea,9148.0,8766.0,10110.0,4724.0,3530.0,264.0,240.0,142.0,213.0,222.0,217.0
Dem. Rep. of the Congo,2194.0,2271.0,1805.0,1723.0,2151.0,1964.0,2331.0,2907.0,3151.0,3897.0,4101.0
Denmark,27692.0,26310.0,27924.0,27013.0,27582.0,27349.0,25874.0,26479.0,26982.0,25878.0,25071.0
Dominica,407.0,263.0,232.0,107.0,60.0,100.0,121.0,126.0,96.0,53.0,65.0
Dominican Republic,2946.0,3202.0,2797.0,2391.0,2456.0,2421.0,2600.0,2315.0,2853.0,3146.0,2926.0
Ecuador,26120.0,25701.0,28815.0,29367.0,27302.0,25617.0,27572.0,28816.0,29721.0,28025.0,28187.0
Egypt,31312.0,28364.0,28624.0,30214.0,35834.0,39988.0,46070.0,45312.0,52340.0,47590.0,49733.0
El Salvador,1817.0,1813.0,1998.0,1894.0,2153.0,2078.0,2141.0,2010.0,2137.0,2104.0,1988.0
Equatorial Guinea,17756.0,16637.0,15005.0,13776.0,12842.0,13160.0,11320.0,9470.0,10120.0,10641.0,8856.0
Eritrea,,65.0,64.0,43.0,86.0,79.0,83.0,89.0,85.0,131.0,100.0
Estonia,9321.0,10447.0,8591.0,9157.0,9871.0,10391.0,10702.0,9458.0,10497.0,10876.0,9618.0
Eswatini,2010.0,1467.0,793.0,748.0,816.0,833.0,981.0,882.0,797.0,816.0,915.0
Ethiopia,500.0,590.0,629.0,591.0,651.0,648.0,770.0,679.0,642.0,576.0,637.0
Falkland Islands (Malvinas),68.0,65.0,61.0,54.0,69.0,89.0,102.0,75.0,85.0,93.0,90.0
Faroe Islands,393.0,411.0,482.0,523.0,544.0,516.0,541.0,522.0,543.0,,660.0
Fiji,1236.0,1327.0,1179.0,1119.0,1172.0,1065.0,1149.0,1105.0,1125.0,1248.0,1161.0
Finland,37997.0,36919.0,35167.0,38617.0,38280.0,40124.0,41271.0,37780.0,37513.0,36694.0,33172.0
France,126359.0,127146.0,129211.0,128511.0,130955.0,132510.0,129020.0,113363.0,121585.0,128324.0,119959.0
French Polynesia,24.0,21.0,21.0,23.0,19.0,28.0,29.0,22.0,24.0,29.0,23.0
French Southern Territories,1.0,1.0,2.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0
Gabon,13518.0,13944.0,14205.0,13216.0,12007.0,11277.0,12088.0,10150.0,11032.0,10608.0,10038.0
Gambia,222.0,147.0,163.0,189.0,229.0,108.0,196.0,132.0,127.0,163.0,420.0
Georgia,1629.0,1920.0,2110.0,1336.0,1480.0,1467.0,1637.0,1818.0,2467.0,2806.0,1530.0
Germany,279834.0,279955.0,285267.0,283689.0,297965.0,302457.0,265627.0,295122.0,311509.0,259359.0,247552.0
Ghana,6769.0,6542.0,6355.0,6061.0,8834.0,11113.0,12327.0,11311.0,10439.0,10192.0,9462.0
Gibraltar,577.0,1228.0,882.0,358.0,133.0,127.0,46.0,178.0,70.0,330.0,279.0
Greece,24090.0,25288.0,22978.0,24469.0,28890.0,29411.0,29176.0,29375.0,32038.0,32242.0,34375.0
Greenland,213.0,214.0,254.0,246.0,277.0,278.0,260.0,275.0,315.0,362.0,392.0
Grenada,25.0,27.0,25.0,22.0,24.0,26.0,23.0,19.0,21.0,20.0,22.0
Guam,69.0,,,,,,,,,,
Guatemala,4882.0,5324.0,6078.0,6025.0,6093.0,5736.0,5838.0,5600.0,6084.0,6915.0,6314.0
Guinea,14190.0,14521.0,13963.0,10151.0,16610.0,19013.0,20771.0,24929.0,22830.0,24821.0,
Guinea-Bissau,251.0,191.0,163.0,202.0,139.0,73.0,130.0,156.0,164.0,129.0,92.0
Guyana,2235.0,1931.0,2484.0,2227.0,2623.0,2856.0,2854.0,4784.0,7440.0,14199.0,19575.0
Haiti,192.0,177.0,152.0,141.0,152.0,175.0,128.0,162.0,197.0,170.0,146.0
Heard Island and McDonald Islands,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Holy See,2.0,4.0,5.0,1.0,1.0,3.0,3.0,2.0,3.0,3.0,162.0
Honduras,3377.0,3257.0,1976.0,1962.0,2207.0,2277.0,2348.0,2252.0,2213.0,2200.0,2517.0
Hungary,19112.0,20340.0,22887.0,21430.0,22901.0,22311.0,24035.0,24919.0,23351.0,21013.0,20247.0
Iceland,1468.0,1389.0,1352.0,1278.0,1391.0,2352.0,1471.0,1256.0,1355.0,1569.0,1398.0
India,115084.0,115993.0,113231.0,123606.0,143596.0,136924.0,143293.0,155010.0,169667.0,162492.0,156202.0
Indonesia,571687.0,502081.0,459589.0,428485.0,508525.0,544252.0,583558.0,570758.0,600041.0,608475.0,546482.0
Iran (Islamic Republic of),67633.0,76047.0,68547.0,117902.0,142079.0,122733.0,50360.0,20637.0,14656.0,16429.0,19820.0
Iraq,115744.0,116961.0,144481.0,168528.0,179500.0,193980.0,196043.0,179328.0,173721.0,192850.0,190425.0
Ireland,15581.0,16260.0,17266.0,17383.0,17878.0,18916.0,19317.0,18743.0,20116.0,18824.0,18209.0
Israel,15816.0,16960.0,15716.0,15630.0,16763.0,16824.0,15826.0,14946.0,15986.0,17964.0,17743.0
Italy,87298.0,86421.0,92259.0,94850.0,103740.0,102331.0,101491.0,94074.0,102490.0,104219.0,100959.0
Jamaica,7821.0,6047.0,7670.0,6319.0,5713.0,6098.0,6152.0,5138.0,4603.0,3969.0,4690.0
Japan,175246.0,165723.0,171494.0,179037.0,172893.0,168893.0,164367.0,148803.0,154977.0,152447.0,149791.0
Jordan,4259.0,5022.0,5069.0,4845.0,5474.0,5078.0,5689.0,6056.0,6701.0,7236.0,7456.0
Kazakhstan,99574.0,95753.0,90147.0,85449.0,96513.0,97164.0,101430.0,105289.0,94451.0,101086.0,119160.0
Kenya,2202.0,2716.0,2433.0,2166.0,2138.0,2235.0,2117.0,2417.0,2774.0,2880.0,2949.0
Kiribati,39.0,46.0,94.0,88.0,85.0,68.0,58.0,69.0,66.0,73.0,57.0
Kuwait,133881.0,133228.0,123248.0,134050.0,132340.0,136309.0,129303.0,123000.0,119938.0,132093.0,131399.0
Kyrgyzstan,242.0,256.0,159.0,282.0,332.0,446.0,459.0,392.0,434.0,650.0,997.0
Lao People's Dem. Rep.,1619.0,2139.0,1887.0,1758.0,2097.0,2299.0,3062.0,3535.0,4664.0,5904.0,
Latvia,10506.0,11626.0,11430.0,12773.0,12717.0,14112.0,12836.0,13880.0,14266.0,15322.0,13732.0
Lesotho,163.0,158.0,140.0,146.0,132.0,108.0,128.0,126.0,123.0,127.0,125.0
Liberia,2785.0,2525.0,2699.0,1913.0,1317.0,2730.0,2850.0,3576.0,3143.0,4044.0,3530.0
Libya,49721.0,26574.0,23389.0,20861.0,42908.0,54355.0,56838.0,20125.0,60469.0,49640.0,54861.0
Lithuania,17452.0,17667.0,19142.0,20722.0,21562.0,20025.0,20358.0,22227.0,22806.0,22602.0,20867.0
Luxembourg,7559.0,8057.0,8437.0,8540.0,7856.0,7842.0,7724.0,7496.0,7838.0,7205.0,6415.0
